,tweets
126,"RT @THR: Jennifer Lawrence wins the #GoldenGlobe for Best Actress in a Comedy or Musical for ""Silver Linings Playbook."" http://t.co/bEbOJaJ5"
127,"RT @RallisP: Jennifer Lawrence wins best actress for Silver Linings Playbook (in ""Musical or Comedy,"" so it doesn't really count). #GoldenGlobes"
128,RT @USATODAY: Jennifer Lawrence wins best actress in a comedy or musical movie for #SilverLinings http://t.co/y0cfCGHF #GoldenGlobes
129,"RT @OnTheRedCarpet: Jennifer Lawrence of ""Silver Linings Playbook"" wins Best Actress in a Comedy Or Musical at the #GoldenGlobes: http://t.co/WWlcxW1Z"
130,RT @TODAY_ent: Best actress in a motion picture comedy or musical goes to Jennifer Lawrence for #SilverLiningsPlaybook http://t.co/sKR3pN9e #GoldenGlobes
131,“@Variety: WINNER: Jennifer Lawrence wins best actress in a musical/comedy for “Silver Linings Playbook” #GoldenGlobes” @H_OLLYwoods
132,RT @HuffPostEnt: Jennifer Lawrence is your Golden Globes winner for Best Actress in a comedy or musical. Also: she taunted Meryl Streep. #goldenglobes
133,"Yes! Well deserved RT @ABC: Jennifer Lawrence wins best actress, motion picture comedy or musical, for Silver Lining Playbook #GoldenGlobes"
134,RT @JenLawFans: Jennifer Lawrence wins Best Actress in Musical or Comedy! #GoldenGlobes http://t.co/ZveCalFT
135,RT @JenLawFans: Jennifer Lawrence wins Best Actress in Musical or Comedy! #GoldenGlobes http://t.co/ZveCalFT
136,RT @TODAY_ent: Best actress in a motion picture comedy or musical goes to Jennifer Lawrence for #SilverLiningsPlaybook http://t.co/sKR3pN9e #GoldenGlobes
137,RT @TODAY_ent: Best actress in a motion picture comedy or musical goes to Jennifer Lawrence for #SilverLiningsPlaybook http://t.co/sKR3pN9e #GoldenGlobes
138,"RT @THR: Jennifer Lawrence wins the #GoldenGlobe for Best Actress in a Comedy or Musical for ""Silver Linings Playbook."" http://t.co/bEbOJaJ5"
139,"Jennifer Lawrence wins best actress in a comedy or musical movie for #SilverLinings http://t.co/Q1gTsfCB #GoldenGlobes"""
140,RT @piamagalona: Jennifer Lawrence's speech as winner for Best Actress in a Comedy/Musical Movie (Silver Linings Playbook) is the best ♥ #GoldenGlobes
141,RT @JenLawFans: Jennifer Lawrence wins Best Actress in Musical or Comedy! #GoldenGlobes http://t.co/ZveCalFT
142,Jennifer Lawrence wins Best Actress Comedy/Musical. First win of the night for #SilverLiningsPlaybook #GoldenGlobes
143,RT @CineplexMovies: Jennifer Lawrence wins Best Actress in a comedy/musical for 'Silver Linings Playbook' and says 'I beat Meryl!' #risky #GoldenGlobes ^AM
144,RT @JenLawFans: Jennifer Lawrence wins Best Actress in Musical or Comedy! #GoldenGlobes http://t.co/ZveCalFT
145,RT @JLdaily: Jennifer Lawrence has just won the @goldenglobes award for 'Best Actress in a Comedy or Musical' #goldenglobes #GOJLAW
146,“@hulu: Best Supporting Actress in a Comedy or Musical goes to Anne Hathaway for Les Miserables. #GoldenGlobes” Yay! Love love her
147,Best Performance by an Actress in a Motion Picture - Musical or Comedy -&gt;Winner: Jennifer Lawrence for Silver Linings Playbook #goldenglobes
148,RT @JenLawFans: Jennifer Lawrence wins Best Actress in Musical or Comedy! #GoldenGlobes http://t.co/ZveCalFT
149,"RT @ABC: Jennifer Lawrence wins best actress, motion picture comedy or musical, for ""Silver Lining Playbook"" http://t.co/r51EfFPg #GoldenGlobes"
150,obsessedwithjennifer: Jennifer Lawrence wins Best Actress in a Musical or Comedy Golden Globes 2013 http://t.co/zikfbKoc
151,RT @USATODAY: Jennifer Lawrence wins best actress in a comedy or musical movie for #SilverLinings http://t.co/y0cfCGHF #GoldenGlobes
152,Jennifer Lawrence wins #GoldenGlobe for best actress in a musical or comedy http://t.co/9ltVVVJm
153,"Golden Globes: Jennifer Lawrence Wins Best Actress in a Motion Picture, Musical or Comedy http://t.co/dhoqKs5F"
154,RT @washingtonpost: Jennifer Lawrence wins best actress in a comedy or musical movie for #SilverLinings http://t.co/DhsQq2FK #GoldenGlobes
155,RT @BBCNewsUS: #JenniferLawrence wins Best Actress Motion Picture - Comedy or Musical at #GoldenGlobes for Silver Linings Playbook http://t.co/YvCP3FbR
156,RT @JenniferUpdates: Jennifer Lawrence wins Best Actress in a Musical or Comedy Golden Globes 2013 http://t.co/C60M6M8B
157,RT @moviesndtv: #GoldenGlobes 2013:Jennifer Lawrence wins Best Actress Comedy/Musical for Silver Linings Playbook http://t.co/e4cm2B1V
158,RT @JenniferUpdates: Jennifer Lawrence wins Best Actress in a Musical or Comedy Golden Globes 2013 http://t.co/C60M6M8B
159,"RT @FashionweekNYC: Jennifer Lawrence wins the Golden Globe for Best Actress in a Comedy/Musical in ""Silver Linings Playbook"" #GoldenGlobes"
160,RT @JenniferUpdates: Jennifer Lawrence wins Best Actress in a Musical or Comedy Golden Globes 2013 http://t.co/C60M6M8B
161,Video: obsessedwithjennifer: Jennifer Lawrence wins Best Actress in a Musical or Comedy Golden Globes 2013 http://t.co/ddZm1Ov6
162,RT @BBCNewsUS: #JenniferLawrence wins Best Actress Motion Picture - Comedy or Musical at #GoldenGlobes for Silver Linings Playbook http://t.co/YvCP3FbR
163,RT @MooeyRae: Jennifer Lawrence wins Best  Actress in a Musical or Comedy Golden Globes 2013: http://t.co/9nFWCbSh via @youtube
164,RT @thejakartaglobe: Jennifer Lawrence wins #GoldenGlobe for best actress in a musical or comedy http://t.co/9ltVVVJm
165,"RT @FashionweekNYC: Jennifer Lawrence wins the Golden Globe for Best Actress in a Comedy/Musical in ""Silver Linings Playbook"" #GoldenGlobes"
166,"RT @FashionweekNYC: Jennifer Lawrence wins the Golden Globe for Best Actress in a Comedy/Musical in ""Silver Linings Playbook"" #GoldenGlobes"
167,RT @BBCNewsUS: #JenniferLawrence wins Best Actress Motion Picture - Comedy or Musical at #GoldenGlobes for Silver Linings Playbook http://t.co/YvCP3FbR
168,RT @JenniferUpdates: Jennifer Lawrence wins Best Actress in a Musical or Comedy Golden Globes 2013 http://t.co/C60M6M8B
169,"RT @ABC: Jennifer Lawrence wins best actress, motion picture comedy or musical, for ""Silver Lining Playbook"" http://t.co/r51EfFPg #GoldenGlobes"
170,RT @JenniferUpdates: Jennifer Lawrence wins Best Actress in a Musical or Comedy Golden Globes 2013 http://t.co/C60M6M8B
171,RT @sassonista: How have I not been invited to the Golden Globes yet? They must be worried I'd sweep Best Actress in a comedy/drama/musical/everything.
172,RT @piamagalona: Jennifer Lawrence's speech as winner for Best Actress in a Comedy/Musical Movie (Silver Linings Playbook) is the best ♥ #GoldenGlobes
173,"Anne Hathaway: #GoldenGlobes Best Supporting Actress Comedy or Musical: Like Jennifer Lawrence, I knew it was on... http://t.co/bL6mvuMD"
174,Best actress in a TV comedy/musical goes to Lena Dunham #GoldenGlobes
175,WINNER Best Actress TV Musical/Comedy - LENA DUNHAM (Girls) #GoldenGlobes
176,RT @TVGuide: Best actress in a TV comedy/musical goes to Lena Dunham #GoldenGlobes
177,Best Actress in TV Comedy/Musical goes to Lena D for Girls! #GoldenGlobes
178,Best actress in a TV comedy or musical: Lena Dunham wins for GIRLS. The 2nd season debuted tonight on HBO. #GoldenGlobes
179,Lena Dunham wins best actress in a TV series (comedy or musical) for Girls #goldenglobes
180,RT @TVGuide: Best actress in a TV comedy/musical goes to Lena Dunham #GoldenGlobes
181,"What do you think? @LenaDunham wins #GoldenGlobes award for Best Actress in a TV comedy, musical for her role in @GirlsHBO."
182,RT @TVGuide: Best actress in a TV comedy/musical goes to Lena Dunham #GoldenGlobes
183,Best Actress in a TV series comedy/musical goes to @girlsHBO #GoldenGlobes yay!
184,@LenaDunham wins the Golden Globe for Best Actress - TV Series Comedy or Musical for her role in @HBOGirls #GoldenGlobes
185,RT @washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/wDtM7VJj #GoldenGlobes #Girls
186,RT @washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/wDtM7VJj #GoldenGlobes #Girls
187,RT @washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/wDtM7VJj #GoldenGlobes #Girls
188,Give us a quotable! RT@washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/EEZ0hOnZ #GoldenGlobes
189,"RT @CNNshowbiz: Best actress in a TV comedy or musical goes to Lena Dunham for ""Girls"" #GoldenGlobes"
190,RT @washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/wDtM7VJj #GoldenGlobes #Girls
191,Lena Dunham wins best performance by an actress in a TV musical or comedy for #Girls http://t.co/VCUv6LqO #GoldenGlobes
192,"RT @CNNshowbiz: Best actress in a TV comedy or musical goes to Lena Dunham for ""Girls"" #GoldenGlobes"
193,"RT @CNNshowbiz: Best actress in a TV comedy or musical goes to Lena Dunham for ""Girls"" #GoldenGlobes"
194,"“@OnTheRedCarpet: Lena Dunham of ""Girls"" wins Best Performance by an Actress in a TV Series - Musical or Comedy at the #GoldenGlobes”"
195,"Lena Dunham wins Best Actress in a TV Series, Comedy/Musical thanks to ""Girls."" #GoldenGlobes Hopefully @carriesnotscary feels better now."
196,".@LenaDunham wins #GoldenGlobes award for Best Actress in a TV comedy, musical for her role in @GirlsHBO."
197,"RT @CNNshowbiz: Best actress in a TV comedy or musical goes to Lena Dunham for ""Girls"" #GoldenGlobes"
