,tweets
2081,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
2082,"dajeee!!! RT @THR: The Grand Budapest Hotel wins Best Motion Picture, Comedy or Musical #GoldenGlobes  http://t.co/JyXdDz3Sb4"
2083,"RT @USATODAY: ""The Grand Budapest Hotel"" wins for best motion picture (comedy or musical)! #GoldenGlobes"
2084,"RT @Culturalist: Congratulations to #GrandBudapestHotel! #GoldenGlobe Winner for Best Motion Picture, Musical or Comedy! http://t.co/CkA01l…"
2085,The Golden Globe for Best Motion Picture (Comedy or Musical) goes to... The Grand Budapest Hotel.
2086,"""@eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/F1uDGW4ukT"""
2087,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
2088,RT @voxdotcom: The Golden Globe for Best Motion Picture (Comedy or Musical) goes to... The Grand Budapest Hotel.
2089,"RT @nbc: The Grand Budapest Hotel wins Best Motion Picture, Comedy or Musical. Congrats to the cast and crew! #GoldenGlobes"
2090,The Grand Budapest Hotel wins Best Motion Picture (Comedy or Musical)! Oscar material? #GoldenGlobes
2091,"RT @nbc: The Grand Budapest Hotel wins Best Motion Picture, Comedy or Musical. Congrats to the cast and crew! #GoldenGlobes"
2092,Best Motion Picture Comedy/Musical winner is... The Grand Budapest Hotel. #GoldenGlobes #BitchFlicks
2093,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
2094,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
2095,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
2096,The Grand Budapest Hotel wins Best Motion Picture - Comedy or Musical #GoldenGlobes
2097,"RT @THR: The Grand Budapest Hotel wins Best Motion Picture, Comedy or Musical #GoldenGlobes  http://t.co/1GXGBQydTi"
2098,"RT @HuffingtonPost: Best Motion Picture, Musical or Comedy goes to The Grand Budapest Hotel #GoldenGlobes"
2099,"""The Grand Budapest Hotel"" wins for best motion picture - musical or comedy #GoldenGlobes"
2100,"RT @eonline: The Grand Budapest Hotel wins for Best Motion Picture, Musical or Comedy at the #GoldenGlobes! http://t.co/s3JgGA4ssO"
2101,"BREAKING: “Grand Budapest Hotel” wins award for Best Motion Picture, Comedy or Musical at #GoldenGlobes."
2102,The #GoldenGlobe for Best Motion Picture Musical or Comedy goes to: The Grand Budapest Hotel  Congrats!!  #GoldenGlobes
2103,The Grand Budapest wins Best Comedy/Musical Motion Picture!!! Looks like such a cool movie :)  #GoldenGlobes
2104,"RT @HuffPostEnt: Whoa! Best motion picture, comedy or musical goes to The Grand Budapest Hotel #GoldenGlobes"
2106,"RT @USATODAY: ""The Grand Budapest Hotel"" wins for best motion picture (comedy or musical)! #GoldenGlobes"
2107,"RT @USATODAY: ""The Grand Budapest Hotel"" wins for best motion picture (comedy or musical)! #GoldenGlobes"
2108,"RT @ForbesLife: The winner of Best Motion Picture, Musical or Comedy, is Wes Anderson's The Grand Budapest Hotel.  #GoldenGlobes http://t.c…"
