,tweets
151,"RT @THR: .@MichaelKeaton wins Best Actor in a Motion Picture, Comedy or Musical for #Birdman #GoldenGlobes http://t.co/FcT8ukRkm2"
152,The Golden Globe for the Best Actor in a Motion Picture - Musical or Comedy on the #GoldenGlobesonVh1 goes to Michael Keaton for #Birdman!
153,"RT @eonline: Congrats! Michael Keaton wins Best Actor in a Motion Picture, Comedy or Musical at the #GoldenGlobes!"
154,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
155,"RT @THR: .@MichaelKeaton wins Best Actor in a Motion Picture, Comedy or Musical for #Birdman #GoldenGlobes http://t.co/FcT8ukRkm2"
156,"RT @eonline: Congrats! Michael Keaton wins Best Actor in a Motion Picture, Comedy or Musical at the #GoldenGlobes!"
157,"RT @eonline: Congrats! Michael Keaton wins Best Actor in a Motion Picture, Comedy or Musical at the #GoldenGlobes!"
158,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
159,"RT @THR: .@MichaelKeaton wins Best Actor in a Motion Picture, Comedy or Musical for #Birdman #GoldenGlobes http://t.co/FcT8ukRkm2"
160,Winner for Best Actor in a Motion Picture - Comedy or Musical - Michael Keaton (@MichaelKeaton) - #Birdman - #GoldenGlobes
161,"RT @eonline: Congrats! Michael Keaton wins Best Actor in a Motion Picture, Comedy or Musical at the #GoldenGlobes!"
162,"RT @THR: .@MichaelKeaton wins Best Actor in a Motion Picture, Comedy or Musical for #Birdman #GoldenGlobes http://t.co/FcT8ukRkm2"
163,"RT @CineplexMovies: Best Actor in a Motion Picture, Musical or Comedy goes to... MICHAEL KEATON for BIRDMAN #GoldenGlobes"
164,"RT @eonline: Congrats! Michael Keaton wins Best Actor in a Motion Picture, Comedy or Musical at the #GoldenGlobes!"
165,"RT @THR: .@MichaelKeaton wins Best Actor in a Motion Picture, Comedy or Musical for #Birdman #GoldenGlobes http://t.co/FcT8ukRkm2"
166,"RT @eonline: Congrats! Michael Keaton wins Best Actor in a Motion Picture, Comedy or Musical at the #GoldenGlobes!"
167,Michael Keaton wins Best Actor in a Musical/Comedy Motion Picture for his role in Birdman #GoldenGlobes
168,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
170,"RT @THR: .@MichaelKeaton wins Best Actor in a Motion Picture, Comedy or Musical for #Birdman #GoldenGlobes http://t.co/FcT8ukRkm2"
171,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
172,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
173,"RT @HuffingtonPost: Best Actor in a Motion Picture, Musical or Comedy goes to Michael Keaton in Birdman #GoldenGlobes"
174,"RT @nbc: And @MichaelKeaton wins the #GoldenGlobe for Best Actor in a Motion Picture, Comedy or Musical for his role in #Birdman!"
175,"RT @eonline: Congrats! Michael Keaton wins Best Actor in a Motion Picture, Comedy or Musical at the #GoldenGlobes!"
176,Best Actor in a comedy/musical motion picture goes to: Michael Keaton. #GoldenGlobes
177,"Michael Keaton wins Best Actor in a Motion Picture, Musical or Comedy, for Birdman. #GoldenGlobes http://t.co/UG2db8XVpI"
178,"RT @THR: .@MichaelKeaton wins Best Actor in a Motion Picture, Comedy or Musical for #Birdman #GoldenGlobes http://t.co/FcT8ukRkm2"
179,"Best Actor in a Motion Picture, Musical or Comedy goes to... MICHAEL KEATON  #GoldenGlobes"
180,"Best Actor, Motion Picture - Musical/Comedy goes to Michael Keaton for ""Birdman."" #GoldenGlobes"
181,"RT @eonline: Congrats! Michael Keaton wins Best Actor in a Motion Picture, Comedy or Musical at the #GoldenGlobes!"
182,"RT @eonline: Congrats! Michael Keaton wins Best Actor in a Motion Picture, Comedy or Musical at the #GoldenGlobes!"
183,RT @IMDb: Winner: Best Actor in a Motion Picture - Musical or Comedy: Michael Keaton for ‘Birdman’ http://t.co/Gsp3Q8w7P7 #GoldenGlobes
184,"RT @eonline: Congrats! Michael Keaton wins Best Actor in a Motion Picture, Comedy or Musical at the #GoldenGlobes!"
